Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
13.1072,9883.669999999998,118617.15,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,7448.42,89381.04,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (256 GB), Nodes (2), Instance Type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,159.14,1909.68,USD,Number of Application Load Balancers (4)
My Estimate,US East (N. Virginia),,AWS Fargate,0,576.63,6919.56,USD,"Operating system (Linux), CPU Architecture (x86), Average duration (1 days), Number of tasks or pods (8 per day), Amount of ephemeral storage allocated for Amazon ECS (20 GB), Amount of memory allocated (4 GB)"
My Estimate,US East (N. Virginia),,AWS Fargate,0,1360.94,16331.28,USD,"Operating system (Linux), CPU Architecture (x86), Average duration (1 days), Number of tasks or pods (8 per day), Amount of ephemeral storage allocated for Amazon ECS (20 GB), Amount of memory allocated (16 GB)"
My Estimate,US East (N. Virginia),,S3 Standard,13.1072,246.38,2969.67,USD,"S3 Standard storage (10 TB per month), S3 Standard Average Object Size (4 MB)"
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
